id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,,,
main5-1,bg,scenario20,,,
main5-1,fgClear,,,,
main5-1,pauseBgm,,,,
main5-1,wait,3,,,
main5-1,talk,,There's a large window in the room,,
main5-1,talk,,A huge window that reaches all the way up to the ceiling,,
main5-1,talk,,During the day， sunlight pours in,,
main5-1,talk,,At night， the city lights quietly make their way in,,
main5-1,talk,,I used to like looking out the window,,
main5-1,talk,,So I rarely keep the curtains closed,,
main5-1,talk,,On nights when I can't sleep， I sometimes gaze blankly at the night sky beyond the window,,
main5-1,wait,1,,,
main5-1,fadeOutTextLine,,,,
main5-1,newPage,,,,
main5-1,fadeInTextLine,,,,
main5-1,wait,1,,,
main5-1,bg,scenario19,2.0,1,
main5-1,playBgm,scenario06,,,
main5-1,wait,5,,,
main5-1,talk,,Even now， I'm looking up at the moon as it climbs through the night sky,,
main5-1,talk,,It was a cloudless night,,
main5-1,talk,,A large moon floated alone in a perfectly uniform sky stretching on forever,,
main5-1,talk,,I can't quite grasp how far away it is,,
main5-1,talk,,It feels like it's very close,,
main5-1,talk,,Close enough that I could almost reach it if I stretched out my hand,,
main5-1,talk,,But somehow， it also feels unimaginably far away,,
main5-1,talk,,And the truth is， it lies immeasurably far away,,
main5-1,wait,1,,,
main5-1,fadeOutTextLine,,,,
main5-1,newPage,,,,
main5-1,fadeInTextLine,,,,
main5-1,wait,1,,,
main5-1,talk,,Looking at the moon makes me think of heaven,,
main5-1,talk,,The place where the dead go,,
main5-1,talk,,A place no living person can ever look into,,
main5-1,talk,,Another world， very far away from here,,
main5-1,talk,,I could see a pattern on the edge of the moon that hadn't been there long ago,,
main5-1,talk,,It was faint， almost like a smudge， but it was definitely there,,
main5-1,talk,,Drowsily， I thought that must be where heaven was,,
main5-1,wait,1,,,
main5-1,pauseBgm,,,,
main5-1,fadeOutTextLine,,,,
main5-1,newPage,,,,
main5-1,fadeInTextLine,,,,
main5-1,wait,3,,,
main5-1,talk,,There is....heaven on the moon,,
main5-1,wait,3,,,
main5-1,fadeOut,2,,,
main5-1,end,questSuccess,,,
-,,,,,
main5-2,bg,computer00,,,
main5-2,fgClear,,,,
main5-2,playBgm,scenario02,,,
main5-2,wait,2,,,
main5-2,talk,,Sometimes， I wonder,,
main5-2,talk,,When I turn away from the dazzling sunlight shining through the gap in the curtains in the morning,,
main5-2,talk,,When I find myself absentmindedly following someone's silhouette with my eyes in the city,,
main5-2,talk,,When I gaze blankly at buildings that still have their lights on in the quiet night,,
main5-2,talk,,Sometimes.....,,
main5-2,talk,,No,,
main5-2,talk,,Far more often than I could ever call it sometimes,,
main5-2,talk,,Always,,
main5-2,talk,,I think about it,,
main5-2,talk,,Maybe everything， all of it， was just a dream,,
main5-2,wait,1,,,
main5-2,fadeOutTextLine,,,,
main5-2,newPage,,,,
main5-2,fadeInTextLine,,,,
main5-2,wait,1,,,
main5-2,talk,,Because there's not a single piece of evidence left,,
main5-2,talk,,Like when you wake up in the morning and realize the dream was only a dream,,
main5-2,talk,,No matter how terrifying the nightmare， all it leaves behind is sweat and a hazy feeling,,
main5-2,talk,,Once I wake up， I feel relieved,,
main5-2,talk,,In the same way， somewhere inside， I feel relieved,,
main5-2,talk,,Watching those memories that had once been so vivid blur with time,,
main5-2,wait,1,,,
main5-2,fadeOutTextLine,,,,
main5-2,newPage,,,,
main5-2,fadeInTextLine,,,,
main5-2,wait,1,,,
main5-2,talk,,I turned off the power and put the computer away in the closet,,
main5-2,talk,,I haven't looked at it in such a long time,,
main5-2,talk,,Time passed peacefully,,
main5-2,talk,,And little by little， I began to forget,,
main5-2,talk,,Even though I've been in this room all this time， it grows more distant with each passing day,,
main5-2,talk,,Like when the air turns chilly， your breath turns white， and you can no longer remember what the summer heat felt like,,
main5-2,talk,,Like forgetting the feeling of sweat running down the back of your neck,,
main5-2,talk,,So many things become hazy,,
main5-2,talk,,The edges of my memories grow blurred， and then,,
main5-2,talk,,I start to think maybe it was all just a dream,,
main5-2,wait,1,,,
main5-2,fadeOutTextLine,,,,
main5-2,newPage,,,,
main5-2,fadeInTextLine,,,,
main5-2,wait,1,,,
main5-2,talk,,I tried to forget everything,,
main5-2,talk,,I wanted to forget it all,,
main5-2,talk,,If I was never going back again,,
main5-2,talk,,That summer sunlight,,
main5-2,talk,,That painfully blue sky,,
main5-2,talk,,The sound of the cicadas,,
main5-2,talk,,Maybe it would be better if I never remembered them again， along with the computer I put away in the closet,,
main5-2,wait,1,,,
main5-2,fadeOutTextLine,,,,
main5-2,newPage,,,,
main5-2,fadeInTextLine,,,,
main5-2,pauseBgm,,,,
main5-2,wait,3,,,
main5-2,talk,,But......,,
main5-2,talk,,I couldn't really forget,,
main5-2,talk,,Whenever the season came to change clothes and I rummaged through the closet， I found myself staring into that dark little corner,,
main5-2,talk,,I couldn't just keep staring out the window and do nothing,,
main5-2,wait,2,,,
main5-2,fadeOut,2,,,
main5-2,end,questSuccess,,,
-,,,,,
main5-3,bg,computer00,,,
main5-3,fgClear,,,,
main5-3,playBgm,scenario06,,,
main5-3,wait,2,,,
main5-3,talk,,If there was one thing， just one thing， that I learned after all that,,
main5-3,talk,,It was about that computer,,
main5-3,talk,,The very old computer I found in the storage room of my late grandmother's house,,
main5-3,talk,,It was certainly old， but I was still able to find information about it,,
main5-3,talk,,There were still product pages showing its old-fashioned design， with all kinds of claims about what it could do back then,,
main5-3,wait,1,,,
main5-3,fadeOutTextLine,,,,
main5-3,newPage,,,,
main5-3,fadeInTextLine,,,,
main5-3,wait,1,,,
main5-3,talk,,What I learned from reading the manual was......,,
main5-3,talk,,This computer,,
main5-3,talk,,Couldn't connect to a network unless a dedicated cable was connected,,
