id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,,,
shino1-1,bg,scenario05,,,
shino1-1,fgClear,,,,
shino1-1,playBgm,environment00,,,
shino1-1,talk,???,Hey!,,
shino1-1,talk,???,Hey， wait up!,,
shino1-1,fg,survivor00,right-right,0.5,
shino1-1,talk,natsuno,......?,,
shino1-1,wait,0.5,,,
shino1-1,talk,???,I finally caught up......!,,
shino1-1,wait,0.5,,,
shino1-1,camera,event-focusFg-left00,,,
shino1-1,wait,2,,,
shino1-1,fg,survivor02,right-left,0.5,smile
shino1-1,talk,???,Don't you walk a little fast......?,,
shino1-1,talk,natsuno,......Um?,,
shino1-1,talk,???,I saw you coming out of there earlier， so I followed you!,,
shino1-1,talk,natsuno,......,,
shino1-1,releaseCamera,,,,
shino1-1,talk,???,Hey. What are you doing out here?,,
shino1-1,wait,1,,,
shino1-1,fadeOut,1,,,
shino1-1,camera,event-reset00,,,
shino1-1,newPage,,,,
shino1-1,wait,1,,,
shino1-1,playBgm,character02,,,
shino1-1,fadeIn,1,,,
shino1-1,talk,shino,This one， this one...... and this one too,,
shino1-1,talk,shino,Oh， this photo was taken right around here,,
shino1-1,talk,shino,I literally just found it a little while ago!,,
shino1-1,talk,natsuno,Huh......,,
shino1-1,talk,natsuno,I didn't know there was a place like this around here,,
shino1-1,talk,shino,Yep， yep!,,
shino1-1,talk,shino,So these three are the ones I haven't found yet,,
shino1-1,talk,natsuno,Hmm......,,
shino1-1,talk,natsuno,You really are going around looking for the places in the photos,,
shino1-1,talk,shino,Aww! You didn't believe me~!,,
shino1-1,fg,survivor00,right-right,0.5,doubt
shino1-1,talk,natsuno,But......,,
shino1-1,talk,natsuno,Traveling around looking for places in photos you just happened to find......,,
shino1-1,talk,natsuno,Nobody would normally do something like that in a situation like this......,,
shino1-1,talk,shino,I mean， yeah~,,
shino1-1,talk,shino,But I've always wanted to take a trip like this,,
shino1-1,talk,shino,Even before things ended up like this,,
shino1-1,talk,shino,It's not like you can really take a trip by yourself unless something like this happens， right?,,
shino1-1,talk,natsuno,......I guess so,,
shino1-1,talk,shino,I've loved cameras for a long time too,,
shino1-1,fg,survivor00,right-right,0.5,default
shino1-1,talk,natsuno,Hmm......,,
shino1-1,talk,natsuno,So what do you do once you find one of the places in the photos?,,
shino1-1,talk,shino,I go， “Yes~!”,,
shino1-1,fg,survivor00,right-right,0.5,zito
shino1-1,talk,natsuno,......That's it?,,
shino1-1,talk,shino,That's it!,,
shino1-1,talk,shino,The feeling of accomplishment is priceless,,
shino1-1,talk,natsuno,......,,
shino1-1,talk,shino,Aww! You're making fun of me~,,
shino1-1,talk,natsuno,No......,,
shino1-1,talk,natsuno,I'm not making fun of you......,,
shino1-1,talk,shino,......,,
shino1-1,talk,shino,So， Natsuno,,
shino1-1,fg,survivor00,right-right,0.5,default
shino1-1,talk,natsuno,?,,
shino1-1,talk,shino,Wanna travel together for a while?,,
shino1-1,talk,natsuno,......,,
shino1-1,talk,shino,I-I don't mean forever!,,
shino1-1,talk,shino,We met here， so maybe it's fate!,,
shino1-1,talk,shino,And a road trip sounds fun!,,
shino1-1,talk,shino,......Traveling together with someone you just happened to meet for a while...... doesn't that feel like a real adventure?,,
shino1-1,talk,natsuno,......,,
shino1-1,talk,natsuno,......Well， okay,,
shino1-1,talk,shino,Really!?,,
shino1-1,talk,natsuno,......It's reassuring to have someone with me,,
shino1-1,talk,shino,Yay~,,
shino1-1,talk,natsuno,I'm kind of curious about the places in those photos too,,
shino1-1,talk,shino,Huh. Really?,,
shino1-1,talk,shino,I knew you had good taste， Natsuno~!,,
shino1-1,fg,survivor00,right-right,0.5,zito
shino1-1,talk,natsuno,......,,
shino1-1,appendSurvivor,shino,,,
shino1-1,end,questSuccess,,,
-,,,,,
shino1-2,fgClear,,,,
shino1-2,bg,scenario05,,,
shino1-2,playBgm,character02,,,
shino1-2,fg,survivor02,right-left,0.5,smile
shino1-2,talk,shino,Hey!,,
shino1-2,fg,survivor00,right-right,0.5,
shino1-2,talk,natsuno,? What?,,
shino1-2,talk,shino,This......,,
shino1-2,talk,natsuno,Yeah......? Oh， the photo......,,
shino1-2,talk,natsuno,What about the photo?,,
shino1-2,talk,shino,Here， look at this,,
shino1-2,talk,shino,This is......,,
shino1-2,talk,natsuno,......Oh,,
shino1-2,talk,natsuno,......You're right,,
shino1-2,talk,natsuno,This......,,
shino1-2,talk,shino,See!,,
shino1-2,talk,shino,Let's go check it out!,,
shino1-2,talk,natsuno,......,,
shino1-2,fg,survivor00,right-right,0.5,smile
shino1-2,talk,natsuno,Yeah,,
shino1-2,talk,natsuno,It doesn't look too far away,,
shino1-2,talk,natsuno,Let's go,,
shino1-2,talk,shino,Yes!,,
shino1-2,wait,1,,,
shino1-2,fadeOut,1,,,
shino1-2,fg,survivor00,right-right,0,default
shino1-2,newPage,,,,
shino1-2,wait,1,,,
shino1-2,fadeIn,1,,,
shino1-2,talk,shino,See， I knew it!,,
shino1-2,talk,shino,It's the same building as in the photo!,,
shino1-2,talk,natsuno,It really is......,,
shino1-2,talk,natsuno,I guess you can actually find them,,
shino1-2,talk,natsuno,I thought there was no way we'd ever find the places in the photos......,,
shino1-2,talk,shino,When there's a landmark like this,,
shino1-2,talk,shino,You can actually find them pretty easily~,,
shino1-2,talk,natsuno,......But where was this photo taken from?,,
shino1-2,talk,natsuno,At this height， maybe from the top of a building,,
shino1-2,talk,shino,Maybe~,,
shino1-2,talk,shino,Maybe one of those rooftops over there?,,
shino1-2,talk,shino,Wanna go up?,,
shino1-2,talk,natsuno,Hmm,,
shino1-2,talk,natsuno,......Well,,
shino1-2,talk,natsuno,Since we're here......,,
shino1-2,wait,1,,,
shino1-2,fadeOut,1,,,
shino1-2,fg,survivor02,right-left,0.5,default
shino1-2,newPage,,,,
shino1-2,wait,1,,,
shino1-2,fadeIn,1,,,
shino1-2,talk,shino,......It hasn't changed as much as I thought,,
shino1-2,talk,natsuno,......Yeah,,
shino1-2,talk,natsuno,The grass has grown wild and the windows are all broken， but......,,
shino1-2,talk,natsuno,It's not that different from the photo,,
shino1-2,talk,shino,......,,
shino1-2,talk,shino,......Even with the grass growing everywhere and the windows broken......,,
shino1-2,talk,shino,You can still tell it's a photo of this town taken from here......,,
shino1-2,talk,shino,So this is what it was like......,,
shino1-2,talk,natsuno,......,,
shino1-2,talk,natsuno,......The photos you have， Shino,,
shino1-2,talk,shino,Hmm?,,
shino1-2,talk,natsuno,They're all pictures of scenery， right?,,
shino1-2,talk,shino,Oh......,,
shino1-2,talk,shino,Yeah. They are,,
shino1-2,talk,natsuno,Why?,,
shino1-2,talk,shino,Why...... I dunno,,
shino1-2,talk,shino,I just found them in a house I happened to go into......,,
shino1-2,talk,shino,Maybe it was the person who took them's hobby...... or something?,,
shino1-2,talk,natsuno,Hmm......,,
shino1-2,fg,survivor00,right-right,0.5,serious
shino1-2,talk,natsuno,......,,
shino1-2,talk,shino,......Natsuno?,,
shino1-2,talk,natsuno,Ah......,,
