id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,,,
main4-1,bg,scenario00,,,
main4-1,fg,survivor03,right-left,0.5,smile
main4-1,playBgm,character00,,,
main4-1,talk,akane,Oh， man,,
main4-1,talk,akane,I never thought even you'd get lost， Natsuno,,
main4-1,talk,akane,You looked so exasperated when I told you I'd lost my way home,,
main4-1,talk,akane,Guess you're no better than me， huh,,
main4-1,fg,survivor00,right-right,0.5,zito
main4-1,talk,natsuno,......,,
main4-1,talk,natsuno,......It's not like that for me,,
main4-1,talk,natsuno,......I did it on purpose,,
main4-1,fg,survivor03,right-left,0.5,default
main4-1,talk,akane,Hmm?,,
main4-1,fg,survivor00,right-right,0.5,serious
main4-1,talk,natsuno,It's not that I lost my way home,,
main4-1,talk,natsuno,I never planned on going back in the first place......,,
main4-1,talk,akane,Oh,,
main4-1,talk,akane,Well， whatever,,
main4-1,talk,akane,Doesn't look like we're gonna find our way back anyway,,
main4-1,talk,akane,Looks like it'll be just the two of us traveling together for a while,,
main4-1,talk,akane,Well， I guess that's fine too,,
main4-1,talk,natsuno,......,,
main4-1,fg,survivor03,right-left,0.5,serious
main4-1,talk,akane,......Anyway,,
main4-1,talk,akane,Why'd you leave the camp by yourself?,,
main4-1,talk,akane,To look for me......,,
main4-1,talk,akane,Doesn't seem like it， though?,,
main4-1,pauseBgm,,,,
main4-1,talk,natsuno,......,,
main4-1,talk,natsuno,............,,
main4-1,playBgm,scenario02,,,
main4-1,fg,survivor00,right-right,0.5,doubt
main4-1,talk,natsuno,You said the aliens...... were trying to tell us something， right,,
main4-1,talk,akane,......,,
main4-1,talk,akane,......Yeah,,
main4-1,talk,akane,I did say that,,
main4-1,talk,natsuno,......What do you think they're trying to tell us?,,
main4-1,talk,akane,......Who knows,,
main4-1,talk,akane,If I knew that， things wouldn't have gotten this bad,,
main4-1,talk,akane,Well， if you ask me,,
main4-1,talk,akane,There's no way we could know,,
main4-1,talk,natsuno,......,,
main4-1,talk,akane,Something we can't even imagine or understand,,
main4-1,talk,akane,Something we wouldn't understand even if they explained it to us,,
main4-1,talk,natsuno,......,,
main4-1,talk,akane,What about you， Natsuno?,,
main4-1,talk,akane,What do you think?,,
main4-1,talk,natsuno,......,,
main4-1,fg,survivor00,right-right,0.5,depress
main4-1,talk,natsuno,......If,,
main4-1,talk,natsuno,If I were in their place......,,
main4-1,talk,natsuno,......Maybe because they were lonely,,
main4-1,talk,natsuno,Maybe they'd been traveling through space all this time,,
main4-1,talk,natsuno,And then...... maybe they got lonely and started talking to anyone， anyone at all,,
main4-1,talk,akane,......Natsuno,,
main4-1,fg,survivor03,right-left,0.5,smile
main4-1,talk,akane,You're surprisingly sentimental， huh,,
main4-1,talk,natsuno,......,,
main4-1,fg,survivor00,right-right,0.5,serious
main4-1,talk,natsuno,......But haven't you ever thought about it?,,
main4-1,talk,natsuno,Our world ended up like this too,,
main4-1,talk,natsuno,If you were traveling all alone......,,
main4-1,fg,survivor03,right-left,0.5,serious
main4-1,talk,akane,......,,
main4-1,talk,natsuno,......You've been with those people the whole time， so I guess you wouldn't know,,
main4-1,talk,akane,......It's not like I've been with someone the whole time either,,
main4-1,talk,akane,I was alone these past few days too,,
main4-1,talk,akane,Well,,
main4-1,talk,akane,I get what it's like to be lonely......,,
main4-1,talk,natsuno,......,,
main4-1,fg,survivor00,right-right,0.5,doubt
main4-1,talk,natsuno,Hey， Akane,,
main4-1,talk,natsuno,......What if it was the other way around?,,
main4-1,talk,akane,......The other way around?,,
main4-1,fg,survivor00,right-right,0.5,serious
main4-1,talk,natsuno,The other way......,,
main4-1,talk,natsuno,I mean,,
main4-1,talk,natsuno,What if the aliens weren't trying to tell us something......,,
main4-1,talk,natsuno,What if we were the ones...... calling out to them， even if we didn't mean to......,,
main4-1,talk,natsuno,And the aliens just happened to hear us......,,
main4-1,talk,akane,......,,
main4-1,talk,akane,......If,,
main4-1,talk,akane,If you're saying you felt lonely after things ended up like this,,
main4-1,talk,akane,And those feelings from all those people somehow drew the aliens or whatever they were to us,,
main4-1,talk,akane,Then that's not it,,
main4-1,talk,akane,Because you only started feeling lonely after all this happened and you ended up alone， right?,,
main4-1,talk,akane,The changes in our bodies， the pandemic， all of that started before then,,
main4-1,talk,akane,The order's backwards,,
main4-1,fg,survivor00,right-right,0.5,depress
main4-1,talk,natsuno,......,,
main4-1,wait,2,,,
main4-1,end,questSuccess,,,
-,,,,,
main4-2,bg,scenario00,,,
main4-2,playBgm,character00,,,
main4-2,fg,survivor03,right-left,0.5,
main4-2,talk,akane,......Huh,,
main4-2,talk,akane,So when Natsuno gets away from you， you can't communicate with her phone anymore， huh,,
main4-2,talk,natsuno,......,,
main4-2,talk,akane,......How did you even notice that?,,
main4-2,fg,survivor00,right-right,0.5,depress
main4-2,talk,natsuno,......,,
main4-2,talk,natsuno,......Just a feeling,,
main4-2,talk,akane,Huh......,,
main4-2,fg,survivor00,right-right,0.5,serious
main4-2,talk,natsuno,......Akane,,
main4-2,talk,natsuno,Do you have that radio...... with you?,,
main4-2,talk,akane,Hmm?,,
main4-2,talk,akane,Of course,,
main4-2,talk,akane,I went and got lost on purpose for this， after all,,
main4-2,talk,akane,See? It's right here,,
main4-2,talk,natsuno,......,,
main4-2,talk,natsuno,......That antenna from the camp,,
main4-2,talk,akane,Oh， the one I found before,,
main4-2,talk,natsuno,I kind of took it with me when I left the camp...... without asking,,
main4-2,talk,akane,Huh,,
main4-2,talk,akane,Whoa,,
main4-2,fg,survivor03,right-left,0.5,smile
main4-2,talk,akane,Nice one， Natsuno,,
main4-2,talk,akane,You little thief,,
main4-2,fg,survivor03,right-left,0.5,default
