id,_name<jpn>,name<eng>
switch00,変なスイッチ,<PLEASE_TRANSLATE>
lever00,何かのレバー,<PLEASE_TRANSLATE>
spring00,ゼンマイ仕掛けのブリキのロボット,<PLEASE_TRANSLATE>
apartment_pinball00,古いピンボールの機械,<PLEASE_TRANSLATE>
hut_musicbox00,大きなディスク・オルゴール,<PLEASE_TRANSLATE>
shop_valve00,配管につながったバルブ,<PLEASE_TRANSLATE>
office_console00,何かの操作卓,<PLEASE_TRANSLATE>
palace_statue00,首の曲がった銅像,<PLEASE_TRANSLATE>
village_rope00,ロープで束ねられた木材,<PLEASE_TRANSLATE>
camp_chair00,ボロボロのキャンプ・チェア,<PLEASE_TRANSLATE>
seaside_box00,歪んで開かなくなった木箱,<PLEASE_TRANSLATE>
hotel_switch00,コードの切れた配電盤,<PLEASE_TRANSLATE>
library_statue00,舌を出した犬の石像,<PLEASE_TRANSLATE>
-,,
